vti_listservertemplate,rCreationDate,vti_streamSyncTokenSequenceNumber,rModifier,vti_durablestreammetadatanextbsn,vti_zipitempreviewnextbsn,vti_iplabelid,Modified_x0020_By,Title,vti_docviznextbsn,vti_writevalidationtoken,vti_universalannotationnextbsn,vti_contentversionisdirty,Created_x0020_By,vti_filesize,vti_contenttag,vti_parserversion,vti_ertimecreated,vti_listiplabelid,docIsMainContent,vti_timelastwritten,vti_cowatchnextbsn,vti_supportsZipIt,vti_decryptdeferred,vti_streamhash,vti_collabnextbsn,vti_sprocsschemaversion,vti_listflags,vti_zipItStoreVersion,vti_genericcontenttempnextbsn,vti_level,vti_zipitempreviewnextbsnalloc,vti_iplabelpromotionversion,vti_shareflags,display_urn:schemas-microsoft-com:office:office#Author,vti_listbasetype,vti_setuppathversion,aclName,aclDomain,vti_replid,docRefNumber,vti_parentid,vti_folderitemcount,vti_virusstatus,vti_previewnextbsn,vti_doclibrowid,vti_modifiedby,vti_etag,aStatus,vti_candeleteversion,vti_timelastmodified,vti_additionalstreamssize,vti_rtag,vti_streamschema,vti_areHybridOrphanHashedBlobsCleaned,vti_universalannotationnextbsnalloc,vti_sourcecontrolcookie,vti_nextbsnallocated,vti_title,vti_bsn,vti_asyncpreviewnextbsn,vti_excelrevisionlognextbsn,vti_metadatanextbsn,vti_dbschemaversion,vti_previewinvalidtime,vti_internalversion,vti_previewnextbsnalloc,vti_contentversion,rObjectType,vti_timecreated,docDirectorate,vti_nextbsn,vti_genericcontenttempnextbsnalloc,vti_orphannextbsn,display_urn:schemas-microsoft-com:office:office#Editor,vti_canmaybeedit,vti_docstoretype,vti_sourcecontrolversion,vti_decryptskipreason,vti_principalcount,vti_docstoreversion,vti_compliancepreviewnextbsn,ContentTypeId,objectName,vti_metainfoversion,vti_foldersubfolderitemcount,vti_listflags2,rModifyDate,vti_ertimelastmodified,vti_listid,vti_aspxpagesnextbsn,docCaseName,vti_collabnextbsnalloc,vti_virusvendorid,docRegistrationNumber,vti_author,vti_complianceflags
101,2020-06-22T14:23:38.0000000,309,ecmadmin,100,100,,,APPENDIX I - Previous contract renewal for Toptech server room operational support,100,Z2K9mcQJQY8AyCoTJfqXGRry/sU=,100,false,,2179971,{000D1314-5EBF-4B98-8A94-43B52D087A92} 1 1,16.0.0.25214,22/06/2020 2:23:38 PM,,0,29/08/2024 11:00:10 AM,100,false,false,0x026762BD99C409418F00C82A1325FA97191AF2FEC5,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d800509a6_80000d00,ecmprodrep,rid:{000D1314-5EBF-4B98-8A94-43B52D087A92},RFID_22062020-847,{F01D1E9F-9B84-4AC2-93FD-5BF6A33CBCC4},0,0,100,906,i:0#.f|membership|spdm@nnpcgroup.com,"""{000D1314-5EBF-4B98-8A94-43B52D087A92} 1""",Archived,true,03/02/2021 1:16:40 PM,0,rt:000D1314-5EBF-4B98-8A94-43B52D087A92@00000000001,66,true,100,fp_internal,399,APPENDIX I - Previous contract renewal for Toptech server room operational support,399,100,100,100,16.0.415.0,29/08/2024 11:00:09 AM,257,100,1,nnpc_attachment_doc,22/06/2020 2:23:38 PM,DOWNSTREAM,399,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,Scan_RFID_22062020-847_1,1,0,229633,2021-02-03T13:16:40.0000000,03/02/2021 1:16:40 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,Departmental Scanning,100,906,RFID_22062020-847,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2020-06-22T15:03:56.0000000,249,ecmadmin,100,100,,,DM IT OPS Request for Access to Towers by Toptech Staff for Server Support,100,5DC4JAIf6TA6Ufvx57GY/1Ot4Lo=,100,false,,1469036,{EBEC528C-BE66-4204-8BDC-52E04F321453} 1 1,16.0.0.25214,22/06/2020 3:03:56 PM,,0,29/08/2024 11:00:11 AM,100,false,false,0x02E430B824021FE9303A51FBF1E7B198FF53ADE0BA,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d800509a9_80000d00,ecmprodrep,rid:{EBEC528C-BE66-4204-8BDC-52E04F321453},RFID_22062020-852,{F01D1E9F-9B84-4AC2-93FD-5BF6A33CBCC4},0,0,100,946,i:0#.f|membership|spdm@nnpcgroup.com,"""{EBEC528C-BE66-4204-8BDC-52E04F321453} 1""",Archived,true,03/02/2021 1:16:40 PM,0,rt:EBEC528C-BE66-4204-8BDC-52E04F321453@00000000001,66,true,100,fp_internal,318,DM IT OPS Request for Access to Towers by Toptech Staff for Server Support,318,100,100,100,16.0.415.0,29/08/2024 11:00:10 AM,257,100,1,nnpc_attachment_doc,22/06/2020 3:03:56 PM,DOWNSTREAM,318,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,Scan_RFID_22062020-852_1,1,0,229633,2021-02-03T13:16:40.0000000,03/02/2021 1:16:40 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,Departmental Scanning,100,906,RFID_22062020-852,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2020-07-01T15:34:07.0000000,163,ecmadmin,100,100,,,Printer Toner Price from SCMD for MD,100,oxPELWC9umN3wm9EieNmbwpTW0k=,100,false,,388813,{C794A588-7388-4DC3-B3D6-2E47D9D1FD44} 1 1,16.0.0.25214,01/07/2020 3:34:07 PM,,0,29/08/2024 11:00:12 AM,100,false,false,0x02A313C42D60BDBA6377C26F4489E3666F0A535B49,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d80050da5_80000d00,ecmprodrep,rid:{C794A588-7388-4DC3-B3D6-2E47D9D1FD44},RFID_01072020-990,{F01D1E9F-9B84-4AC2-93FD-5BF6A33CBCC4},0,0,100,970,i:0#.f|membership|spdm@nnpcgroup.com,"""{C794A588-7388-4DC3-B3D6-2E47D9D1FD44} 1""",Archived,true,03/02/2021 1:16:41 PM,0,rt:C794A588-7388-4DC3-B3D6-2E47D9D1FD44@00000000001,66,true,100,fp_internal,201,Printer Toner Price from SCMD for MD,201,100,100,100,16.0.415.0,29/08/2024 11:00:11 AM,257,100,1,nnpc_attachment_doc,01/07/2020 3:34:07 PM,DOWNSTREAM,201,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,Scan_RFID_01072020-990_1,1,0,229633,2021-02-03T13:16:41.0000000,03/02/2021 1:16:41 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,Departmental Scanning,100,906,RFID_01072020-990,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2022-01-21T15:48:28.0000000,807,ecmadmin,100,100,,,INV: UOG/MA/107B OPERATIONAL EXPENSES FOR NOVEMBER 2021 ULOB OIL,100,9AcJPDu7ux+gjhdS5foyma1u3/U=,100,false,,7456469,{94C7B581-931A-4D92-A353-D41F8C516E53} 1 1,16.0.0.25214,21/01/2022 3:48:28 PM,,0,29/08/2024 11:00:53 AM,100,false,false,0x02F407093C3BBBBB1FA08E1752E5FA3299AD6EDFF5,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d8011cd78_80000d00,ecmprodrep,rid:{94C7B581-931A-4D92-A353-D41F8C516E53},ECM_PUD_16000,{608D6BF4-46ED-45D5-8205-15C0E3AF9F3E},0,0,100,1873,i:0#.f|membership|spdm@nnpcgroup.com,"""{94C7B581-931A-4D92-A353-D41F8C516E53} 1""",SapReady,true,01/02/2022 8:53:50 AM,0,rt:94C7B581-931A-4D92-A353-D41F8C516E53@00000000001,66,true,100,fp_internal,1072,INV: UOG/MA/107B OPERATIONAL EXPENSES FOR NOVEMBER 2021 ULOB OIL,1072,100,100,100,16.0.415.0,29/08/2024 11:00:43 AM,257,100,1,nnpc_sap_scanned_doc,21/01/2022 3:48:28 PM,DOWNSTREAM,1072,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,ECM_PUD_16000,1,0,229633,2022-02-01T08:53:50.0000000,01/02/2022 8:53:50 AM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,DACAP,100,906,RFID_19012022-16000,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2022-01-21T15:58:03.0000000,795,ecmadmin,100,100,,,INV: UOG/MA/107A AGENCY FOR NOVEMBER 2021 ULOB OIL,100,P968rLiLvf2wQpIIbqL8GILDfhA=,100,false,,7088612,{9421F56F-53B0-4AC9-8D04-D5D2C49ED0A7} 1 1,16.0.0.25214,21/01/2022 3:58:03 PM,,0,29/08/2024 11:00:56 AM,100,false,false,0x023FDEBCACB88BBDFDB04292086EA2FC1882C37E10,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d8013cf89_80000d00,ecmprodrep,rid:{9421F56F-53B0-4AC9-8D04-D5D2C49ED0A7},ECM_PUD_15999,{608D6BF4-46ED-45D5-8205-15C0E3AF9F3E},0,0,100,1944,i:0#.f|membership|spdm@nnpcgroup.com,"""{9421F56F-53B0-4AC9-8D04-D5D2C49ED0A7} 1""",SapReady,true,28/04/2022 12:48:05 PM,0,rt:9421F56F-53B0-4AC9-8D04-D5D2C49ED0A7@00000000001,66,true,100,fp_internal,1054,INV: UOG/MA/107A AGENCY FOR NOVEMBER 2021 ULOB OIL,1054,100,100,100,16.0.415.0,29/08/2024 11:00:54 AM,257,100,1,nnpc_sap_scanned_doc,21/01/2022 3:58:03 PM,DOWNSTREAM,1054,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,ECM_PUD_15999,1,0,229633,2022-04-28T12:48:05.0000000,28/04/2022 12:48:05 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,DACAP,100,906,RFID_19012022-15999,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2022-01-21T16:19:39.0000000,577,ecmadmin,100,100,,,INV: NNPC/DMS/PF.W/10/2021 1ST - SET OF FENDERS FOR OCTOBER 2021 DIVINE MARINE,100,FdL+00MSCfbEQVUdlMokxhkWzrU=,100,false,,5018876,{BB85F4AE-2768-41C2-A3F1-B0EDD9C9DD4D} 1 1,16.0.0.25214,21/01/2022 4:19:39 PM,,0,29/08/2024 11:00:57 AM,100,false,false,0x0215D2FED3431209F6C441551D94CA24C61916CEB5,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d8013cf84_80000d00,ecmprodrep,rid:{BB85F4AE-2768-41C2-A3F1-B0EDD9C9DD4D},ECM_PUD_15998,{608D6BF4-46ED-45D5-8205-15C0E3AF9F3E},0,0,100,2004,i:0#.f|membership|spdm@nnpcgroup.com,"""{BB85F4AE-2768-41C2-A3F1-B0EDD9C9DD4D} 1""",SapReady,true,28/04/2022 12:48:12 PM,0,rt:BB85F4AE-2768-41C2-A3F1-B0EDD9C9DD4D@00000000001,66,true,100,fp_internal,759,INV: NNPC/DMS/PF.W/10/2021 1ST - SET OF FENDERS FOR OCTOBER 2021 DIVINE MARINE,759,100,100,100,16.0.415.0,29/08/2024 11:00:56 AM,257,100,1,nnpc_sap_scanned_doc,21/01/2022 4:19:39 PM,DOWNSTREAM,759,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,ECM_PUD_15998,1,0,229633,2022-04-28T12:48:12.0000000,28/04/2022 12:48:12 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,DACAP,100,906,RFID_19012022-15998,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2020-10-02T15:04:04.0000000,185,ecmadmin,100,100,,,levanto contract,100,B/2MCzfjhnIQpVTTrSICa8Focrs=,100,false,,718909,{E89BCC75-8B5A-4792-BB6B-A1E9C2FD2CFA} 1 1,16.0.0.25214,02/10/2020 3:04:04 PM,,0,29/08/2024 11:00:58 AM,100,false,false,0x0207FD8C0B37E3867210A554D3AD22026BC16872BB,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d8005b507_80000d00,ecmprodrep,rid:{E89BCC75-8B5A-4792-BB6B-A1E9C2FD2CFA},Barcode_02102020-4427,{53ACC31F-881F-4F7A-BD36-7D7F37AF800E},0,0,100,2019,i:0#.f|membership|spdm@nnpcgroup.com,"""{E89BCC75-8B5A-4792-BB6B-A1E9C2FD2CFA} 1""",Archived,true,03/02/2021 1:16:47 PM,0,rt:E89BCC75-8B5A-4792-BB6B-A1E9C2FD2CFA@00000000001,66,true,100,fp_internal,234,levanto contract,234,100,100,100,16.0.415.0,29/08/2024 11:00:57 AM,257,100,1,nnpc_attachment_doc,02/10/2020 3:04:04 PM,DOWNSTREAM,234,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,Scan_Barcode_02102020-4427_4,1,0,229633,2021-02-03T13:16:47.0000000,03/02/2021 1:16:47 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,Departmental Scanning,100,906,Barcode_02102020-4427,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2020-10-16T11:20:59.0000000,1227,ecmadmin,100,100,,,REPORT ON EXPLOSION/ FIRE INCIDENCE AT ABULE ADO 2,100,IhxFzCjues6/iTx/lc5TWrSDEjI=,100,false,,11646147,{6B454F0F-C731-4F98-B568-EDE38F9C4F26} 1 1,16.0.0.25214,16/10/2020 11:20:59 AM,,0,29/08/2024 11:00:59 AM,100,false,false,0x02221C45CC28EE7ACEBF893C7F95CE535AB4831232,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d8005d263_80000d00,ecmprodrep,rid:{6B454F0F-C731-4F98-B568-EDE38F9C4F26},Barcode_16102020-4847,{2154CF39-BFA8-438A-8802-6718F64625CE},0,0,100,2024,i:0#.f|membership|spdm@nnpcgroup.com,"""{6B454F0F-C731-4F98-B568-EDE38F9C4F26} 1""",Archived,true,03/02/2021 1:17:02 PM,0,rt:6B454F0F-C731-4F98-B568-EDE38F9C4F26@00000000001,66,true,100,fp_internal,1638,REPORT ON EXPLOSION/ FIRE INCIDENCE AT ABULE ADO 2,1638,100,100,100,16.0.415.0,29/08/2024 11:00:56 AM,257,100,1,nnpc_attachment_doc,16/10/2020 11:20:59 AM,DOWNSTREAM,1638,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,Scan_Barcode_16102020-4847_1,1,0,229633,2021-02-03T13:17:02.0000000,03/02/2021 1:17:02 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,Departmental Scanning,100,906,Barcode_16102020-4847,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2022-01-21T17:08:02.0000000,1600,ecmadmin,100,100,,,INV: SS/TUG/BA/011/2021 TUG JMS BRAVO/BATTLEAXE FOR NOVEMBER 2021 SHIP & SHORE,100,8n94LwM8xd6VOPYFTAVRamLDpt0=,100,false,,15547874,{414E5020-EAF9-493E-A518-A84446360966} 2 2,16.0.0.25214,21/01/2022 5:08:02 PM,,0,29/08/2024 11:01:02 AM,100,false,false,0x02F27F782F033CC5DE9538F6054C05516A62C3A6DD,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d8013d0bf_80000d00,ecmprodrep,rid:{414E5020-EAF9-493E-A518-A84446360966},ECM_PUD_15980,{608D6BF4-46ED-45D5-8205-15C0E3AF9F3E},0,0,100,2035,,"""{414E5020-EAF9-493E-A518-A84446360966} 2""",SapReady,true,28/04/2022 3:21:44 PM,0,rt:414E5020-EAF9-493E-A518-A84446360966@00000000002,66,true,100,fp_internal,2124,INV: SS/TUG/BA/011/2021 TUG JMS BRAVO/BATTLEAXE FOR NOVEMBER 2021 SHIP & SHORE,2124,100,100,100,16.0.415.0,29/08/2024 11:00:58 AM,513,100,2,nnpc_sap_scanned_doc,21/01/2022 5:08:02 PM,DOWNSTREAM,2124,100,100,SP Documentum  Migration,true,0,V1.0,12,4,2,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,ECM_PUD_15980,2,0,229633,2022-04-28T15:21:44.0000000,28/04/2022 3:21:44 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,DACAP,100,906,RFID_19012022-15980,i:0#.f|membership|spdm@nnpcgroup.com,0
101,2020-06-24T13:56:02.0000000,235,ecmadmin,100,100,,,Undertaking to use it responsibly-Omoluabi Kola,100,JKRhh+NmhUtWYU3SgRaDyUUvCkI=,100,false,,1121158,{E73C2E22-D778-48C8-9011-AD2C898DE9D3} 1 1,16.0.0.25214,24/06/2020 1:56:02 PM,,0,29/08/2024 11:01:02 AM,100,false,false,0x0224A46187E366854B56614DD2811683C9452F0A42,100,16.0.1176.0,36028797031551112,14,100,1,100,0,0,SP Documentum  Migration,1,16,dm_4502d57d800509f1_80000d00,ecmprodrep,rid:{E73C2E22-D778-48C8-9011-AD2C898DE9D3},RFID_24062020-871,{4667F921-D57C-4FCD-9BD5-2804B3D3A888},0,0,100,2126,i:0#.f|membership|spdm@nnpcgroup.com,"""{E73C2E22-D778-48C8-9011-AD2C898DE9D3} 1""",Archived,true,03/02/2021 1:16:41 PM,0,rt:E73C2E22-D778-48C8-9011-AD2C898DE9D3@00000000001,66,true,100,fp_internal,297,Undertaking to use it responsibly-Omoluabi Kola,297,100,100,100,16.0.415.0,29/08/2024 11:01:01 AM,257,100,1,nnpc_attachment_doc,24/06/2020 1:56:02 PM,DOWNSTREAM,297,100,100,SP Documentum  Migration,true,0,V1.0,12,4,1,100,0x010100F2E1D25A9E6E4345918DA25447D3402600C060AB3B2D690744BE76E6984630C09D,Scan_RFID_24062020-871_1,1,0,229633,2021-02-03T13:16:41.0000000,03/02/2021 1:16:41 PM,{1E6A424D-9B0D-4D15-99DA-98A6515352F4},100,Departmental Scanning,100,906,RFID_24062020-871,i:0#.f|membership|spdm@nnpcgroup.com,0
